q,age_group,sex,cigsmok,N,wtN
Q4-2019,40,male,0,149,172.524357
Q4-2019,40,male,1,35,43.054449
Q4-2019,40,female,0,168,164.197559
Q4-2019,40,female,1,22,22.034654
Q4-2019,45,male,0,154,163.309879
Q4-2019,45,male,1,42,49.352644
Q4-2019,45,female,0,173,212.312325
Q4-2019,45,female,1,25,33.693644
Q4-2019,50,male,0,183,200.970577
Q4-2019,50,male,1,23,22.73049
Q4-2019,50,female,0,127,164.612432
Q4-2019,50,female,1,25,36.039855
Q4-2019,55,male,0,149,142.05761
Q4-2019,55,male,1,28,28.855331
Q4-2019,55,female,0,166,187.380416
Q4-2019,55,female,1,18,19.931198
Q4-2019,60,male,0,184,170.775924
Q4-2019,60,male,1,26,27.693732
Q4-2019,60,female,0,128,140.134154
Q4-2019,60,female,1,19,24.453646
Q4-2019,65,male,0,637,486.874471000001
Q4-2019,65,male,1,64,46.491872
Q4-2019,65,female,0,566,577.658092000001
Q4-2019,65,female,1,52,57.656978
Q1-2020,18,male,0,55,48.272275
Q1-2020,18,male,1,14,11.995996
Q1-2020,18,female,0,28,28.77791
Q1-2020,18,female,1,9,8.995667
Q1-2020,20,male,0,152,125.474316
Q1-2020,20,male,1,30,29.978745
Q1-2020,20,female,0,162,141.469829
Q1-2020,20,female,1,30,28.87484
Q1-2020,25,male,0,85,114.480981
Q1-2020,25,male,1,26,31.401501
Q1-2020,25,female,0,83,98.0056150000001
Q1-2020,25,female,1,27,27.766171
Q1-2020,30,male,0,90,120.176214
Q1-2020,30,male,1,21,22.201765
Q1-2020,30,female,0,113,129.76565
Q1-2020,30,female,1,22,24.1439
Q1-2020,35,male,0,100,126.94003
Q1-2020,35,male,1,18,21.572986
Q1-2020,35,female,0,112,122.772518
Q1-2020,35,female,1,21,23.46873
Q1-2020,40,male,0,78,96.722072
Q1-2020,40,male,1,13,14.879132
Q1-2020,40,female,0,88,93.734545
Q1-2020,40,female,1,18,21.483034
Q1-2020,45,male,0,91,108.679807
Q1-2020,45,male,1,16,14.306159
Q1-2020,45,female,0,105,132.887563
Q1-2020,45,female,1,15,17.424659
Q1-2020,50,male,0,104,117.654839
Q1-2020,50,male,1,36,38.468762
Q1-2020,50,female,0,89,115.346636
Q1-2020,50,female,1,15,17.940257
Q1-2020,55,male,0,100,100.687201
Q1-2020,55,male,1,19,19.351348
Q1-2020,55,female,0,93,86.499413
Q1-2020,55,female,1,24,21.088937
Q1-2020,60,male,0,118,106.402133
Q1-2020,60,male,1,16,14.979464
Q1-2020,60,female,0,131,124.322713
Q1-2020,60,female,1,18,18.127435
Q1-2020,65,male,0,425,326.235796
Q1-2020,65,male,1,35,20.742149
Q1-2020,65,female,0,441,379.906776
Q1-2020,65,female,1,34,29.973691
Q2-2020,18,male,0,40,53.087718
Q2-2020,18,male,1,13,18.167707
Q2-2020,18,female,0,36,45.655078
Q2-2020,18,female,1,5,7.666865
Q2-2020,20,male,0,106,139.961376
Q2-2020,20,male,1,44,64.170978
Q2-2020,20,female,0,152,170.214548
Q2-2020,20,female,1,31,38.669892
Q2-2020,25,male,0,102,138.447884
Q2-2020,25,male,1,28,43.64445
Q2-2020,25,female,0,110,140.950624
Q2-2020,25,female,1,36,45.654727
Q2-2020,30,male,0,126,170.66925
Q2-2020,30,male,1,48,71.897128
Q2-2020,30,female,0,144,177.362775
Q2-2020,30,female,1,45,57.738567
Q2-2020,35,male,0,95,119.72099
Q2-2020,35,male,1,24,33.368355
Q2-2020,35,female,0,118,139.544116
Q2-2020,35,female,1,21,23.228058
Q2-2020,40,male,0,147,195.249366
Q2-2020,40,male,1,36,51.926776
Q2-2020,40,female,0,180,204.577463
Q2-2020,40,female,1,25,30.386855
Q2-2020,45,male,0,155,162.972808
Q2-2020,45,male,1,23,23.358616
Q2-2020,45,female,0,143,140.649858
Q2-2020,45,female,1,21,22.275743
Q2-2020,50,male,0,199,208.082906
Q2-2020,50,male,1,23,25.21845
Q2-2020,50,female,0,244,236.099873
Q2-2020,50,female,1,27,29.285093
Q2-2020,55,male,0,178,153.608227
Q2-2020,55,male,1,23,23.26954
Q2-2020,55,female,0,231,153.335944
Q2-2020,55,female,1,35,26.003205
Q2-2020,60,male,0,189,172.554228
Q2-2020,60,male,1,22,20.683493
Q2-2020,60,female,0,256,179.048582
Q2-2020,60,female,1,29,22.956971
Q2-2020,65,male,0,597,509.331060999999
Q2-2020,65,male,1,29,23.862733
Q2-2020,65,female,0,737,573.363887
Q2-2020,65,female,1,59,46.475558
Q3-2020,18,male,0,41,54.681388
Q3-2020,18,male,1,18,20.705707
Q3-2020,18,female,0,54,55.318775
Q3-2020,18,female,1,9,10.850388
Q3-2020,20,male,0,117,149.254019
Q3-2020,20,male,1,36,49.83052
Q3-2020,20,female,0,157,155.911746
Q3-2020,20,female,1,39,38.503832
Q3-2020,25,male,0,93,122.2704
Q3-2020,25,male,1,28,41.619311
Q3-2020,25,female,0,122,156.92505
Q3-2020,25,female,1,35,46.11846
Q3-2020,30,male,0,153,206.520935
Q3-2020,30,male,1,43,61.67776
Q3-2020,30,female,0,146,185.51963
Q3-2020,30,female,1,28,40.623591
Q3-2020,35,male,0,106,132.460699
Q3-2020,35,male,1,25,35.437897
Q3-2020,35,female,0,123,147.214933
Q3-2020,35,female,1,20,23.300267
